City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
fabriano,43.3406,12.9073,41.0,66.0,100.0,7.0,IT,2021-04-17 01:04:34
puerto escondido,15.85,-97.0667,80.6,74.0,40.0,11.5,MX,2021-04-17 00:59:49
port elizabeth,-33.918,25.5701,60.8,72.0,0.0,14.97,ZA,2021-04-17 01:01:38
vaini,-21.2,-175.2,80.6,69.0,20.0,4.61,TO,2021-04-17 01:04:36
vestmanna,62.1564,-7.1664,44.6,100.0,75.0,10.36,FO,2021-04-17 01:04:36
lalibela,12.0333,39.0333,57.56,72.0,99.0,3.11,ET,2021-04-17 01:04:37
barrow,71.2906,-156.7887,23.0,80.0,90.0,11.5,US,2021-04-17 01:03:17
manggar,-2.8833,108.2667,83.77,71.0,100.0,8.19,ID,2021-04-17 01:04:38
bluff,-46.6,168.3333,55.0,65.0,99.0,8.01,NZ,2021-04-17 01:04:39
kajaani,64.2273,27.7285,24.8,93.0,0.0,2.3,FI,2021-04-17 01:04:39
guerrero negro,27.9769,-114.0611,61.21,69.0,0.0,25.01,MX,2021-04-17 01:02:02
hervey bay,-25.2986,152.8535,81.0,58.0,4.0,1.01,AU,2021-04-17 01:00:49
flin flon,54.7682,-101.865,39.02,83.0,13.0,0.4,CA,2021-04-17 01:00:17
severo-kurilsk,50.6789,156.125,35.2,65.0,42.0,10.11,RU,2021-04-17 01:04:41
cape town,-33.9258,18.4232,64.99,77.0,0.0,1.14,ZA,2021-04-17 01:04:42
carutapera,-1.195,-46.02,75.88,93.0,100.0,6.13,BR,2021-04-17 01:04:42
sitka,57.0531,-135.33,48.2,76.0,75.0,3.44,US,2021-04-17 01:01:13
hithadhoo,-0.6,73.0833,81.45,63.0,51.0,3.56,MV,2021-04-17 01:04:44
hobart,-42.8794,147.3294,63.0,55.0,75.0,13.8,AU,2021-04-17 01:02:04
moyale,3.5167,39.0584,67.17,80.0,14.0,0.54,KE,2021-04-17 01:02:15
nantucket,41.2835,-70.0995,39.2,93.0,90.0,19.57,US,2021-04-17 01:03:10
ribeira grande,38.5167,-28.7,63.07,96.0,88.0,16.55,PT,2021-04-17 01:04:46
payo,-3.7508,103.6372,74.68,97.0,100.0,0.58,ID,2021-04-17 01:04:47
fortuna,40.5982,-124.1573,57.0,87.0,1.0,12.66,US,2021-04-17 01:04:48
nome,64.5011,-165.4064,30.99,93.0,90.0,6.91,US,2021-04-17 01:04:48
khatanga,71.9667,102.5,10.17,92.0,100.0,9.89,RU,2021-04-17 01:04:49
yellowknife,62.456,-114.3525,46.4,46.0,40.0,11.5,CA,2021-04-17 01:00:10
husavik,66.0449,-17.3389,39.2,60.0,0.0,11.5,IS,2021-04-17 01:01:23
ulladulla,-35.35,150.4667,61.0,72.0,100.0,4.61,AU,2021-04-17 01:00:45
hasaki,35.7333,140.8333,64.0,67.0,75.0,13.8,JP,2021-04-17 01:01:31
comodoro rivadavia,-45.8667,-67.5,59.0,51.0,0.0,8.05,AR,2021-04-17 00:59:57
tuatapere,-46.1333,167.6833,55.0,65.0,89.0,8.01,NZ,2021-04-17 01:04:52
okha,53.5739,142.9478,32.76,98.0,89.0,8.25,RU,2021-04-17 01:04:52
fort-shevchenko,44.5086,50.263,52.12,73.0,7.0,3.96,KZ,2021-04-17 01:04:53
torbay,47.6666,-52.7314,33.01,93.0,90.0,17.27,CA,2021-04-17 01:04:53
georgetown,5.4112,100.3354,78.8,89.0,40.0,8.05,MY,2021-04-17 01:00:22
komsomolskiy,40.4272,71.7189,53.6,50.0,7.0,4.61,UZ,2021-04-17 01:04:55
san patricio,28.017,-97.5169,78.01,94.0,90.0,6.91,US,2021-04-17 01:04:56
bonavista,48.6499,-53.1147,33.01,86.0,43.0,5.75,CA,2021-04-17 01:04:56
shasta lake,40.6804,-122.3708,79.0,20.0,36.0,3.0,US,2021-04-17 01:04:57
russell,32.3502,-85.1999,60.8,82.0,1.0,0.43,US,2021-04-17 01:04:58
la rioja,42.25,-2.5,41.0,60.0,75.0,6.91,ES,2021-04-17 01:04:58
alofi,-19.0595,-169.9187,84.2,65.0,2.0,6.91,NU,2021-04-17 01:00:30
urubicha,-15.3833,-62.95,75.7,79.0,19.0,2.13,BO,2021-04-17 01:04:59
camana,-16.6228,-72.7111,68.14,84.0,6.0,7.81,PE,2021-04-17 01:05:00
cayenne,4.9333,-52.3333,81.0,78.0,40.0,3.44,GF,2021-04-17 01:05:00
petropavlovsk-kamchatskiy,53.0452,158.6483,39.2,38.0,0.0,13.42,RU,2021-04-17 01:05:01
pringsewu,-5.3582,104.9744,77.56,89.0,100.0,2.57,ID,2021-04-17 01:01:19
butaritari,3.0707,172.7902,82.13,74.0,49.0,8.97,KI,2021-04-17 01:05:03
saint-philippe,-21.3585,55.7679,77.0,78.0,0.0,5.75,RE,2021-04-17 01:05:04
avarua,-21.2078,-159.775,82.4,74.0,75.0,4.61,CK,2021-04-17 01:05:05
ingraj bazar,25.0,88.15,79.81,59.0,7.0,9.37,IN,2021-04-17 01:05:05
birobidzhan,48.8,132.95,43.52,65.0,100.0,9.19,RU,2021-04-17 01:05:06
port hardy,50.6996,-127.4199,66.2,45.0,1.0,9.22,CA,2021-04-17 01:00:09
puerto colombia,10.9878,-74.9547,80.6,78.0,40.0,5.75,CO,2021-04-17 01:05:07
bhadasar,28.2833,74.3167,70.86,46.0,6.0,6.04,IN,2021-04-17 01:03:15
mhango,-3.2833,32.85,62.17,97.0,96.0,3.76,TZ,2021-04-17 01:05:08
howard springs,-12.497,131.047,87.8,66.0,20.0,3.44,AU,2021-04-17 01:05:09
bogo,11.0517,124.0055,81.81,79.0,100.0,13.8,PH,2021-04-17 01:05:09
pasni,25.2631,63.471,79.21,78.0,0.0,6.42,PK,2021-04-17 01:02:09
arraial do cabo,-22.9661,-42.0278,75.45,75.0,13.0,18.59,BR,2021-04-17 01:05:11
grand gaube,-20.0064,57.6608,80.01,84.0,54.0,5.01,MU,2021-04-17 01:05:11
tasiilaq,65.6145,-37.6368,26.6,100.0,75.0,35.68,GL,2021-04-17 01:05:12
margate,51.3813,1.3862,42.01,79.0,0.0,7.0,GB,2021-04-17 01:05:13
susurluk,39.9136,28.1578,54.0,93.0,75.0,3.44,TR,2021-04-17 01:05:13
andenes,69.3143,16.1194,35.6,87.0,13.0,9.22,NO,2021-04-17 01:03:10
bilibino,68.0546,166.4372,22.48,77.0,100.0,11.7,RU,2021-04-17 01:01:14
puerto varas,-41.3195,-72.9854,51.8,93.0,0.0,4.61,CL,2021-04-17 01:05:15
atuona,-9.8,-139.0333,80.83,74.0,100.0,17.34,PF,2021-04-17 01:05:15
egersund,58.4513,5.9997,42.01,80.0,0.0,1.14,NO,2021-04-17 01:05:16
mbigou,-1.9005,11.906,67.8,97.0,100.0,2.19,GA,2021-04-17 01:05:17
chillicothe,39.3331,-82.9824,53.01,70.0,1.0,4.61,US,2021-04-17 01:04:25
sauteurs,12.2167,-61.6333,80.6,78.0,20.0,13.8,GD,2021-04-17 01:05:18
kahului,20.8947,-156.47,80.6,61.0,40.0,11.5,US,2021-04-17 01:01:11
aspe,38.3451,-0.7672,48.99,81.0,0.0,6.91,ES,2021-04-17 01:00:22
lucapa,-8.4192,20.7447,65.1,96.0,100.0,3.31,AO,2021-04-17 01:04:15
mataura,-46.1927,168.8643,55.0,65.0,66.0,8.01,NZ,2021-04-17 01:05:20
tilichiki,60.4667,166.1,26.02,79.0,100.0,14.65,RU,2021-04-17 01:05:21
qaanaaq,77.484,-69.3632,-1.86,90.0,100.0,9.1,GL,2021-04-17 01:05:21
mount isa,-20.7333,139.5,78.8,25.0,34.0,18.41,AU,2021-04-17 01:05:22
pitiquito,30.7,-112.0833,80.01,15.0,82.0,3.0,MX,2021-04-17 01:05:22
sorland,67.667,12.6934,40.62,83.0,0.0,13.44,NO,2021-04-17 01:05:23
sisimiut,66.9395,-53.6735,5.2,70.0,100.0,4.97,GL,2021-04-17 01:05:24
nishihara,26.1842,127.7558,75.2,88.0,75.0,11.5,JP,2021-04-17 01:05:25
chokurdakh,70.6333,147.9167,7.68,89.0,9.0,10.02,RU,2021-04-17 01:05:25
nieuw amsterdam,5.8833,-55.0833,80.6,78.0,20.0,8.05,SR,2021-04-17 01:05:26
new norfolk,-42.7826,147.0587,63.0,75.0,100.0,4.0,AU,2021-04-17 01:05:27
gravdal,68.1214,13.5031,39.34,85.0,0.0,11.48,NO,2021-04-17 01:05:27
kasempa,-13.4584,25.8338,56.32,78.0,4.0,5.88,ZM,2021-04-17 01:05:28
bethel,41.3712,-73.414,43.0,80.0,97.0,9.06,US,2021-04-17 01:05:29
kyaiklat,16.4333,95.7333,78.8,100.0,90.0,4.61,MM,2021-04-17 01:05:30
victoria,22.2855,114.1577,73.99,90.0,100.0,1.01,HK,2021-04-17 01:02:28
hilo,19.7297,-155.09,80.6,54.0,40.0,9.22,US,2021-04-17 01:01:42
portland,45.5234,-122.6762,77.0,14.0,1.0,14.97,US,2021-04-17 01:04:37
east london,-33.0153,27.9116,59.22,66.0,4.0,10.94,ZA,2021-04-17 01:05:31
huanren,41.2647,125.3667,45.93,33.0,100.0,9.28,CN,2021-04-17 01:05:17
sovetskiy,61.3614,63.5842,33.76,70.0,100.0,12.1,RU,2021-04-17 01:05:32
ilulissat,69.2167,-51.1,5.0,78.0,90.0,13.8,GL,2021-04-17 01:01:46
port alfred,-33.5906,26.891,61.95,62.0,2.0,20.24,ZA,2021-04-17 01:05:34
jamestown,42.097,-79.2353,37.99,93.0,90.0,8.05,US,2021-04-17 01:01:56
mpika,-11.8343,31.4529,57.49,89.0,98.0,8.99,ZM,2021-04-17 01:02:22
scarborough,54.2797,-0.4044,35.01,86.0,13.0,4.23,GB,2021-04-17 01:03:48
newton,42.337,-71.2092,37.0,93.0,90.0,14.97,US,2021-04-17 01:05:27
mar del plata,-38.0023,-57.5575,64.0,94.0,0.0,2.66,AR,2021-04-17 01:05:36
valencia,39.3333,-0.8333,46.99,93.0,0.0,5.75,ES,2021-04-17 01:05:37
hermanus,-34.4187,19.2345,57.99,78.0,0.0,4.0,ZA,2021-04-17 01:05:37
mahebourg,-20.4081,57.7,77.0,88.0,20.0,5.75,MU,2021-04-17 01:00:45
pevek,69.7008,170.3133,21.18,86.0,100.0,2.57,RU,2021-04-17 01:00:54
huarmey,-10.0681,-78.1522,68.54,83.0,100.0,8.41,PE,2021-04-17 01:05:39
shitanjing,39.2342,106.3439,39.96,23.0,0.0,7.25,CN,2021-04-17 01:05:40
lakes entrance,-37.8811,147.981,61.0,59.0,1.0,1.99,AU,2021-04-17 01:05:40
champerico,14.3,-91.9167,86.0,70.0,40.0,6.91,GT,2021-04-17 01:02:05
taltal,-25.4,-70.4833,62.2,85.0,22.0,2.46,CL,2021-04-17 01:05:41
dunnville,42.9001,-79.6163,44.01,75.0,100.0,13.8,CA,2021-04-17 01:05:42
staryy nadym,65.6118,72.6842,7.68,92.0,96.0,17.67,RU,2021-04-17 01:05:43
tadine,-21.55,167.8833,77.83,76.0,64.0,14.27,NC,2021-04-17 01:00:29
zharkent,44.1628,80.0,56.61,70.0,95.0,2.93,KZ,2021-04-17 01:05:44
owensboro,37.7742,-87.1133,59.0,47.0,1.0,3.44,US,2021-04-17 01:05:45
broken hill,-31.95,141.4333,57.2,47.0,0.0,10.36,AU,2021-04-17 01:05:45
nanortalik,60.1432,-45.2371,20.95,56.0,0.0,51.05,GL,2021-04-17 00:58:29
uniontown,39.9001,-79.7164,46.0,51.0,100.0,7.7,US,2021-04-17 01:03:04
ewa beach,21.3156,-158.0072,78.8,53.0,90.0,10.36,US,2021-04-17 01:05:47
chicama,-7.8447,-79.1469,66.2,88.0,100.0,10.36,PE,2021-04-17 01:05:47
sioux lookout,50.1001,-91.917,46.4,25.0,75.0,10.36,CA,2021-04-17 01:01:03
lorengau,-2.0226,147.2712,84.7,74.0,72.0,8.59,PG,2021-04-17 01:05:48
taoudenni,22.6783,-3.9836,79.92,15.0,70.0,10.27,ML,2021-04-17 01:00:36
santa cruz del sur,20.7147,-77.9956,77.29,72.0,0.0,4.05,CU,2021-04-17 01:05:49
jerome,42.7241,-114.5186,55.4,22.0,20.0,13.8,US,2021-04-17 01:05:50
bud,39.447,-86.1758,55.4,50.0,1.0,4.99,US,2021-04-17 01:05:51
tuktoyaktuk,69.4541,-133.0374,19.4,79.0,90.0,4.61,CA,2021-04-17 01:05:51
dahanu,19.9667,72.7333,79.14,72.0,0.0,2.46,IN,2021-04-17 01:05:52
padang,-0.9492,100.3543,73.4,100.0,75.0,1.14,ID,2021-04-17 01:05:53
northam,51.0333,-4.2167,37.99,76.0,7.0,3.0,GB,2021-04-17 01:05:53
aksarka,66.5606,67.7975,4.71,94.0,100.0,3.27,RU,2021-04-17 01:05:54
bosaso,11.2842,49.1816,79.93,67.0,4.0,8.72,SO,2021-04-17 01:05:55
caravelas,-17.7125,-39.2481,74.59,80.0,19.0,6.38,BR,2021-04-17 01:02:16
manta,-0.95,-80.7333,80.6,78.0,0.0,4.61,EC,2021-04-17 01:05:56
codrington,-38.2667,141.9667,60.78,58.0,100.0,7.83,AU,2021-04-17 01:00:34
dongli,23.5656,116.8194,69.8,78.0,75.0,6.71,CN,2021-04-17 01:05:57
nhulunbuy,-12.2333,136.7667,87.8,55.0,100.0,14.97,AU,2021-04-17 01:02:08
baraboo,43.4711,-89.7443,53.6,32.0,1.0,3.44,US,2021-04-17 01:05:01
marabba,12.35,32.1833,81.66,8.0,33.0,8.75,SD,2021-04-17 01:05:59
jacqueville,5.2052,-4.4146,84.2,84.0,20.0,9.22,CI,2021-04-17 01:01:40
ambovombe,-25.1667,46.0833,66.69,60.0,7.0,16.26,MG,2021-04-17 01:06:00
andros town,24.7,-77.7667,75.2,78.0,20.0,6.91,BS,2021-04-17 01:03:14
alta floresta,-9.8756,-56.0861,72.21,94.0,97.0,1.39,BR,2021-04-17 01:06:01
yarim,14.298,44.3779,55.26,51.0,0.0,3.53,YE,2021-04-17 01:06:02
hit,33.6416,42.8251,70.72,27.0,29.0,5.61,IQ,2021-04-17 01:06:02
yarada,17.65,83.2667,75.2,100.0,20.0,2.3,IN,2021-04-17 01:06:03
megion,61.0296,76.1136,17.6,73.0,0.0,11.18,RU,2021-04-17 01:06:04
nuuk,64.1835,-51.7216,12.2,79.0,75.0,4.61,GL,2021-04-17 01:01:38
esperance,-33.8667,121.9,57.2,82.0,64.0,8.05,AU,2021-04-17 01:06:05
salvador,13.8333,-88.9167,84.2,74.0,20.0,4.61,SV,2021-04-17 01:01:37
bredasdorp,-34.5322,20.0403,50.0,93.0,6.0,3.4,ZA,2021-04-17 01:06:06
brae,60.3964,-1.353,43.25,86.0,100.0,12.71,GB,2021-04-17 01:01:18
port-gentil,-0.7193,8.7815,82.06,78.0,100.0,8.46,GA,2021-04-17 01:06:07
bengkulu,-3.8004,102.2655,77.29,85.0,89.0,2.51,ID,2021-04-17 01:04:12
ahuimanu,21.4447,-157.8378,78.8,64.0,75.0,9.22,US,2021-04-17 01:06:08
clyde river,70.4692,-68.5914,10.4,85.0,82.0,21.85,CA,2021-04-17 01:06:09
caceres,39.522,-6.3748,45.21,53.0,6.0,7.09,ES,2021-04-17 01:06:10
nikolskoye,59.7035,30.7861,42.8,39.0,0.0,11.18,RU,2021-04-17 01:06:10
marovoay,-16.1,46.6333,75.2,94.0,20.0,1.14,MG,2021-04-17 01:06:11
norman wells,65.282,-126.8329,48.2,49.0,75.0,10.36,CA,2021-04-17 01:02:12
sinnamary,5.3833,-52.95,77.97,82.0,60.0,10.6,GF,2021-04-17 01:06:12
longyearbyen,78.2186,15.6401,14.0,62.0,20.0,11.5,SJ,2021-04-17 01:06:13
chuy,-33.6971,-53.4616,65.55,92.0,0.0,5.39,UY,2021-04-17 01:06:13
bambous virieux,-20.3428,57.7575,80.01,88.0,20.0,5.75,MU,2021-04-17 01:06:14
tiksi,71.6872,128.8694,2.71,98.0,100.0,9.13,RU,2021-04-17 01:06:15
grindavik,63.8424,-22.4338,39.2,75.0,75.0,26.46,IS,2021-04-17 01:06:16
ahipara,-35.1667,173.1667,65.89,56.0,1.0,15.19,NZ,2021-04-17 00:58:45
gat,31.61,34.7642,64.99,79.0,5.0,1.86,IL,2021-04-17 01:01:56
aklavik,68.2191,-135.0107,33.8,51.0,100.0,3.44,CA,2021-04-17 01:01:52
sumenep,-7.0167,113.8667,82.33,72.0,9.0,8.81,ID,2021-04-17 01:06:18
umm kaddadah,13.6017,26.6876,73.27,9.0,12.0,14.07,SD,2021-04-17 01:06:18
saumur,47.3333,-0.25,44.6,65.0,0.0,5.75,FR,2021-04-17 01:06:19
muros,42.7762,-9.0603,48.99,59.0,93.0,11.43,ES,2021-04-17 01:06:20
faanui,-16.4833,-151.75,82.13,72.0,35.0,6.58,PF,2021-04-17 01:06:21
talnakh,69.4865,88.3972,-10.05,96.0,100.0,3.44,RU,2021-04-17 01:01:27
ust-nera,64.5667,143.2,19.49,74.0,100.0,5.88,RU,2021-04-17 01:01:12
katobu,-4.9408,122.5276,84.56,63.0,5.0,3.27,ID,2021-04-17 01:06:22
benguela,-12.5763,13.4055,79.99,80.0,50.0,3.47,AO,2021-04-17 01:06:23
touros,-5.1989,-35.4608,78.8,83.0,40.0,4.61,BR,2021-04-17 01:00:32
akyab,20.15,92.9,80.8,63.0,55.0,6.82,MM,2021-04-17 01:06:24
veraval,20.9,70.3667,78.53,82.0,0.0,11.21,IN,2021-04-17 01:06:24
richards bay,-28.783,32.0377,63.54,74.0,99.0,5.88,ZA,2021-04-17 01:01:57
banugao,14.7333,121.6333,82.87,66.0,100.0,10.31,PH,2021-04-17 01:06:25
asau,46.4333,26.4,37.99,47.0,56.0,5.21,RO,2021-04-17 01:00:19
gunjur,13.2019,-16.7339,69.8,83.0,1.0,11.5,GM,2021-04-17 01:06:26
nemuro,43.3236,145.575,50.0,71.0,75.0,9.22,JP,2021-04-17 01:06:27
itoman,26.1247,127.6694,75.2,88.0,75.0,11.5,JP,2021-04-17 01:06:28
san andres,12.5847,-81.7006,82.4,78.0,75.0,11.5,CO,2021-04-17 01:00:11
sakakah,29.9697,40.2064,75.2,29.0,20.0,23.02,SA,2021-04-17 01:06:29
goiatuba,-18.0125,-49.3547,66.76,82.0,72.0,0.78,BR,2021-04-17 01:01:39
fakel,57.6325,53.0252,30.85,81.0,8.0,4.59,RU,2021-04-17 01:06:30
saldanha,-33.0117,17.9442,60.8,55.0,0.0,3.44,ZA,2021-04-17 01:00:57
palombara sabina,42.0667,12.768,46.99,63.0,100.0,5.41,IT,2021-04-17 01:06:31
meulaboh,4.1363,96.1285,77.04,84.0,100.0,2.77,ID,2021-04-17 01:06:32
trelew,-43.249,-65.3051,62.51,40.0,0.0,7.7,AR,2021-04-17 01:06:32
el prat de llobregat,41.3278,2.0947,50.0,87.0,20.0,8.05,ES,2021-04-17 01:06:33
bonthe,7.5264,-12.505,78.44,85.0,94.0,4.27,SL,2021-04-17 01:06:34
sao jose da coroa grande,-8.8978,-35.1478,77.2,85.0,88.0,7.2,BR,2021-04-17 01:06:34
krotoszyn,51.6987,17.4374,42.01,97.0,100.0,7.54,PL,2021-04-17 01:06:35
sokoni,-6.4333,39.55,79.16,82.0,89.0,12.03,TZ,2021-04-17 01:06:35
uruzgan,32.8333,66.0,54.32,49.0,0.0,3.4,AF,2021-04-17 01:06:36
saskylakh,71.9167,114.0833,4.33,94.0,100.0,14.9,RU,2021-04-17 01:06:37
kavieng,-2.5744,150.7967,80.01,78.0,100.0,5.28,PG,2021-04-17 01:06:37
grand-lahou,5.1367,-5.0242,80.83,84.0,73.0,8.46,CI,2021-04-17 01:06:38
cherskiy,68.75,161.3,21.25,81.0,92.0,12.24,RU,2021-04-17 01:06:39
bereda,43.2686,-7.5406,33.01,92.0,80.0,5.01,ES,2021-04-17 01:06:40
kieta,-6.2167,155.6333,81.63,79.0,100.0,7.11,PG,2021-04-17 01:06:40
burgeo,47.6167,-57.6152,37.49,74.0,10.0,13.58,CA,2021-04-17 01:06:41
thunder bay,48.4001,-89.3168,48.2,29.0,40.0,9.22,CA,2021-04-17 01:04:16
toma,12.7667,-2.8833,90.36,29.0,98.0,6.46,BF,2021-04-17 01:06:42
lagoa,39.05,-27.9833,61.45,96.0,100.0,12.5,PT,2021-04-17 01:06:42
southbridge,42.0751,-72.0334,37.99,98.0,100.0,12.64,US,2021-04-17 01:06:43
yarmouth,41.7057,-70.2286,41.0,87.0,90.0,12.66,US,2021-04-17 01:06:44
wewak,-3.5534,143.6268,77.41,91.0,100.0,3.6,PG,2021-04-17 01:06:44
dudinka,69.4058,86.1778,-17.52,99.0,100.0,3.0,RU,2021-04-17 00:57:04
dunedin,-45.8742,170.5036,57.0,49.0,61.0,5.99,NZ,2021-04-17 01:06:45
khandyga,62.6667,135.6,30.29,93.0,100.0,16.84,RU,2021-04-17 01:06:46
plettenberg bay,-34.0527,23.3716,59.47,48.0,0.0,5.77,ZA,2021-04-17 01:06:47
dosso,13.049,3.1937,86.47,10.0,26.0,4.79,NE,2021-04-17 01:06:47
geraldton,-28.7667,114.6,73.4,28.0,100.0,14.97,AU,2021-04-17 01:06:48
goure,13.9835,10.2704,76.32,9.0,18.0,3.47,NE,2021-04-17 01:06:49
egvekinot,66.3167,-179.1667,29.88,98.0,100.0,11.77,RU,2021-04-17 01:06:49
souillac,-20.5167,57.5167,77.0,88.0,20.0,5.75,MU,2021-04-17 01:02:20
agua verde,22.9,-106.05,78.01,69.0,75.0,8.05,MX,2021-04-17 01:06:51
baruun-urt,46.6806,113.2792,38.32,33.0,0.0,14.85,MN,2021-04-17 01:06:51
castro,-24.7911,-50.0119,59.36,89.0,100.0,3.24,BR,2021-04-17 01:06:52
tezu,27.9167,96.1667,78.58,36.0,49.0,2.06,IN,2021-04-17 01:06:53
matelandia,-25.2408,-53.9964,68.0,94.0,0.0,4.61,BR,2021-04-17 01:06:53
tchollire,8.4022,14.1698,85.26,34.0,87.0,4.25,CM,2021-04-17 01:06:54
aswan,24.0934,32.907,77.92,16.0,0.0,10.6,EG,2021-04-17 01:06:55
warri,5.5167,5.75,76.87,89.0,99.0,4.34,NG,2021-04-17 01:06:55
marrakesh,31.6315,-8.0083,60.8,77.0,40.0,5.75,MA,2021-04-17 01:06:15
turan,16.0678,108.2208,80.6,83.0,75.0,5.75,VN,2021-04-17 01:06:57
saint-pierre,-21.3393,55.4781,77.0,78.0,0.0,5.75,RE,2021-04-17 01:06:57
uturoa,-16.7333,-151.4333,81.77,74.0,60.0,7.25,PF,2021-04-17 01:06:58
clarence town,-32.5833,151.7833,60.01,100.0,90.0,9.22,AU,2021-04-17 01:06:59
elizabeth city,36.2946,-76.2511,55.0,65.0,99.0,7.2,US,2021-04-17 01:06:59
anadyr,64.75,177.4833,37.4,81.0,40.0,15.66,RU,2021-04-17 01:07:00
cabo san lucas,22.8909,-109.9124,77.0,61.0,40.0,8.05,MX,2021-04-17 00:58:10
kendari,-3.945,122.4989,83.91,65.0,31.0,3.78,ID,2021-04-17 01:07:01
arcata,40.8665,-124.0828,53.01,93.0,90.0,3.44,US,2021-04-17 01:07:01
necochea,-38.5473,-58.7368,60.78,90.0,0.0,6.78,AR,2021-04-17 01:07:02
baykit,61.67,96.37,2.07,83.0,100.0,11.72,RU,2021-04-17 01:07:03
viedma,-40.8135,-62.9967,59.43,62.0,43.0,8.57,AR,2021-04-17 01:07:04
yerbogachen,61.2767,108.0108,11.71,74.0,100.0,14.79,RU,2021-04-17 01:07:04
miraflores,19.2167,-98.8083,77.0,22.0,75.0,11.5,MX,2021-04-17 01:07:05
xining,36.6167,101.7667,38.68,30.0,100.0,0.85,CN,2021-04-17 01:07:06
zheleznodorozhnyy,55.7503,38.0042,48.99,53.0,0.0,8.95,RU,2021-04-17 01:07:06
hofn,64.2539,-15.2082,43.03,79.0,20.0,24.43,IS,2021-04-17 01:07:07
klaksvik,62.2266,-6.589,44.6,100.0,75.0,10.36,FO,2021-04-17 01:07:08
pahrump,36.2083,-115.9839,73.0,13.0,93.0,3.0,US,2021-04-17 01:07:09
waingapu,-9.6567,120.2641,82.2,76.0,28.0,9.95,ID,2021-04-17 01:07:09
vitim,59.4511,112.5578,26.83,94.0,100.0,7.92,RU,2021-04-17 01:07:10
amapa,1.0,-52.0,70.05,99.0,100.0,2.26,BR,2021-04-17 01:07:10
mormugao,15.4,73.8,80.6,83.0,40.0,4.61,IN,2021-04-17 01:07:11
constitucion,-35.3333,-72.4167,56.48,82.0,100.0,6.64,CL,2021-04-17 01:07:12
waipawa,-41.4122,175.5153,57.2,72.0,75.0,23.02,NZ,2021-04-17 01:07:12
kiunga,-6.1219,141.2906,82.89,76.0,100.0,1.95,PG,2021-04-17 01:07:13
ende,-8.8432,121.6623,83.43,66.0,14.0,2.01,ID,2021-04-17 01:07:00
ola,59.5833,151.2833,22.68,87.0,100.0,7.38,RU,2021-04-17 01:07:14
airai,-8.9266,125.4092,70.75,56.0,24.0,5.08,TL,2021-04-17 01:07:15
hambantota,6.1241,81.1185,77.0,100.0,75.0,3.44,LK,2021-04-17 01:01:59
labrea,-7.2586,-64.7981,74.48,96.0,100.0,0.83,BR,2021-04-17 01:07:16
sulangan,11.1373,123.7228,81.45,79.0,100.0,13.51,PH,2021-04-17 01:07:17
